proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,duration,line_num,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK,team_id,espn_athlete_id,attach_status,stat_status,games_used,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,min_last5_avg,min_season_avg,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,model_dir_5
10822774,279778,kenyon giles|WICH,Kenyon Giles,kenyon giles,WICH,TLSA,WICH,TLSA,G,Pts+Rebs+Asts,pra,Standard,26.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs+Asts,standard,Full,26.5,153,73.04,Avg,Avg,153,2724,5107508,OK_MAP,OK,25,16.0,31.0,16.0,6.0,30.0,19.0,30.0,28.0,33.0,30.0,19.8,23.9,23.96,34.0,36.8,2,3,0,0.4,0.6,0.4,0.6,6,4,0,0.6,0.4,0.6,0.4,UNDER
10822793,280768,tylen riley|TLSA,Tylen Riley,tylen riley,TLSA,WICH,TLSA,WICH,G,Pts+Rebs+Asts,pra,Standard,25.5,2026-03-24T19:00:00.000-04:00,146470,20,TLSA,Pts+Rebs+Asts,standard,Full,25.5,83,70.25,Above Avg,Above Avg,83,202,5178210,OK_MAP,OK,27,26.0,21.0,33.0,17.0,17.0,27.0,38.0,24.0,27.0,26.0,22.8,25.6,24.222,31.6,29.2,2,3,0,0.4,0.6,0.4,0.6,6,4,0,0.6,0.4,0.6,0.4,UNDER
10822773,279778,kenyon giles|WICH,Kenyon Giles,kenyon giles,WICH,TLSA,WICH,TLSA,G,Pts+Rebs,pr,Standard,24.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs,standard,Full,24.5,153,73.04,Avg,Avg,153,2724,5107508,OK_MAP,OK,25,15.0,30.0,16.0,5.0,29.0,19.0,29.0,28.0,32.0,29.0,19.0,23.2,22.68,34.0,36.8,2,3,0,0.4,0.6,0.4,0.6,6,4,0,0.6,0.4,0.6,0.4,UNDER
10823230,279786,karon boyd|WICH,Karon Boyd,karon boyd,WICH,TLSA,WICH,TLSA,F,Pts+Rebs+Asts,pra,Demon,24.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs+Asts,demon,Full,24.5,153,73.04,Avg,Avg,153,2724,5176140,OK_MAP,OK,25,20.0,17.0,12.0,7.0,18.0,21.0,17.0,26.0,8.0,22.0,14.8,16.8,18.08,30.0,33.5,0,5,0,0.0,1.0,0.0,1.0,1,9,0,0.1,0.9,0.1,0.9,UNDER
10822772,279778,kenyon giles|WICH,Kenyon Giles,kenyon giles,WICH,TLSA,WICH,TLSA,G,Pts+Asts,pa,Standard,23.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Asts,standard,Full,23.5,153,73.04,Avg,Avg,153,2724,5107508,OK_MAP,OK,25,13.0,29.0,15.0,3.0,28.0,17.0,29.0,22.0,28.0,25.0,17.6,20.9,21.24,34.0,36.8,2,3,0,0.4,0.6,0.4,0.6,5,5,0,0.5,0.5,0.5,0.5,UNDER
10823228,279786,karon boyd|WICH,Karon Boyd,karon boyd,WICH,TLSA,WICH,TLSA,F,Pts+Rebs+Asts,pra,Demon,22.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs+Asts,demon,Full,22.5,153,73.04,Avg,Avg,153,2724,5176140,OK_MAP,OK,25,20.0,17.0,12.0,7.0,18.0,21.0,17.0,26.0,8.0,22.0,14.8,16.8,18.08,30.0,33.5,0,5,0,0.0,1.0,0.0,1.0,1,9,0,0.1,0.9,0.1,0.9,UNDER
10822771,279778,kenyon giles|WICH,Kenyon Giles,kenyon giles,WICH,TLSA,WICH,TLSA,G,Points,pts,Standard,21.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Points,standard,Full,21.5,153,73.04,Avg,Avg,153,2724,5107508,OK_MAP,OK,25,12.0,28.0,15.0,2.0,27.0,17.0,28.0,22.0,27.0,24.0,16.8,20.2,19.96,34.0,36.8,2,3,0,0.4,0.6,0.4,0.6,6,4,0,0.6,0.4,0.6,0.4,UNDER
10822791,280768,tylen riley|TLSA,Tylen Riley,tylen riley,TLSA,WICH,TLSA,WICH,G,Pts+Asts,pa,Standard,21.5,2026-03-24T19:00:00.000-04:00,146470,20,TLSA,Pts+Asts,standard,Full,21.5,83,70.25,Above Avg,Above Avg,83,202,5178210,OK_MAP,OK,27,23.0,15.0,27.0,15.0,13.0,23.0,31.0,18.0,23.0,23.0,18.6,21.1,19.704,31.6,29.2,2,3,0,0.4,0.6,0.4,0.6,6,4,0,0.6,0.4,0.6,0.4,UNDER
10822792,280768,tylen riley|TLSA,Tylen Riley,tylen riley,TLSA,WICH,TLSA,WICH,G,Pts+Rebs,pr,Standard,20.5,2026-03-24T19:00:00.000-04:00,146470,20,TLSA,Pts+Rebs,standard,Full,20.5,83,70.25,Above Avg,Above Avg,83,202,5178210,OK_MAP,OK,27,23.0,16.0,27.0,11.0,14.0,22.0,33.0,19.0,20.0,18.0,18.2,20.3,19.63,31.6,29.2,2,3,0,0.4,0.6,0.4,0.6,4,6,0,0.4,0.6,0.4,0.6,UNDER
10823229,279786,karon boyd|WICH,Karon Boyd,karon boyd,WICH,TLSA,WICH,TLSA,F,Pts+Rebs+Asts,pra,Demon,20.5,2026-03-24T19:00:00.000-04:00,146470,20,WICH,Pts+Rebs+Asts,demon,Full,20.5,153,73.04,Avg,Avg,153,2724,5176140,OK_MAP,OK,25,20.0,17.0,12.0,7.0,18.0,21.0,17.0,26.0,8.0,22.0,14.8,16.8,18.08,30.0,33.5,0,5,0,0.0,1.0,0.0,1.0,3,7,0,0.3,0.7,0.3,0.7,UNDER
