espn_player_id,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,TEAM_NAME,OVERALL_DEF_RANK,OPP_PPG,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier,updated_at,gp,goals_conceded,goals_conceded_pg,clean_sheets,wins,draws,losses,opp_team_1,opp_team_2,TEAM_NAME_DEF_1,OVERALL_DEF_RANK_DEF_1,OPP_PPG_DEF_1,opp_gaa_DEF_1,opp_saa_DEF_1,opp_pk_pct_DEF_1,opp_gf_per_game_DEF_1,opp_sf_per_game_DEF_1,opp_pp_pct_DEF_1,opp_wins_DEF_1,opp_gp_DEF_1,def_rank_DEF_1,def_tier_DEF_1,updated_at_DEF_1,gp_DEF_1,goals_conceded_DEF_1,goals_conceded_pg_DEF_1,clean_sheets_DEF_1,wins_DEF_1,draws_DEF_1,losses_DEF_1,TEAM_NAME_DEF_2,OVERALL_DEF_RANK_DEF_2,OPP_PPG_DEF_2,opp_gaa_DEF_2,opp_saa_DEF_2,opp_pk_pct_DEF_2,opp_gf_per_game_DEF_2,opp_sf_per_game_DEF_2,opp_pp_pct_DEF_2,opp_wins_DEF_2,opp_gp_DEF_2,def_rank_DEF_2,def_tier_DEF_2,updated_at_DEF_2,gp_DEF_2,goals_conceded_DEF_2,goals_conceded_pg_DEF_2,clean_sheets_DEF_2,wins_DEF_2,draws_DEF_2,losses_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,avg_minutes,avg_passes,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,position_group,minutes_tier,shot_volume,field_involvement,pass_role,is_goalkeeper,shot_role,usage_role,projection,edge,abs_edge,forced_over_only,bet_direction,eligible,void_reason,edge_dr,line_hit_rate,minutes_certainty,prop_weight,reliability_mult,edge_z,line_hit_z,min_z,def_adj,projection_adj,edge_adj,edge_adj_dr,def_rank_signal,def_rank_z,stat_last5_avg_num,stat_last10_avg_num,stat_season_avg_num,avg_vs_line,avg_vs_line_z,prop_hr_prior,prop_hr_z,has_real_stats,rank_score,tier,model_dir,final_bet_direction,final_dir_reason
,Galeno,Attacker,AHLI,QADSIAH,SOCCER,17.5,Passes Attempted,passes,Standard,10543351,10543351,228028,135379,2026-03-13T15:00:00.000-04:00,,,17.5,0,https://static.prizepicks.com/images/players/soccer/2j8v4lkqeg1bcqp77ezseo8vd.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,LOW,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,17.5,0,0,0,OVER,1,,0,,0.75,1.08,1,0.8218564526736405,,-9.895669781061327,0,17.5,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.62,2.491474324526771,0,-0.6636641246092482,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Ivan Toney,Attacker,AHLI,QADSIAH,SOCCER,14.5,Passes Attempted,passes,Standard,10543350,10543350,212576,135379,2026-03-13T15:00:00.000-04:00,,,14.5,0,https://static.prizepicks.com/images/players/soccer/b36foqukxn8obd969q6sea7yt.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,LOW,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,14.5,0,0,0,OVER,1,,0,,0.75,1.08,1,0.8218564526736405,,-9.895669781061327,0,14.5,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.62,2.491474324526771,0,-0.6636641246092482,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Ibañez,Defender,AHLI,QADSIAH,SOCCER,4.5,Clearances,clearances,Standard,10543384,10543384,192934,135379,2026-03-13T15:00:00.000-04:00,,,4.5,0,https://static.prizepicks.com/images/manual/Ibañez.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,,DEF,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,4.5,0,0,0,OVER,1,,0,,0.9,1.02,1,0.8218564526736405,,-3.881772558968289,0,4.5,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.57,1.629492099056985,0,0.02956581852219025,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Nacho,Defender,QADSIAH,AHLI,SOCCER,4.5,Clearances,clearances,Standard,10543385,10543385,289378,135379,2026-03-13T15:00:00.000-04:00,,,4.5,0,https://static.prizepicks.com/images/players/soccer/7o4nc6jwsi3quvnwinstqwyj9.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,,DEF,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,4.5,0,0,0,OVER,1,,0,,0.9,1.02,1,0.8218564526736405,,-3.881772558968289,0,4.5,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.57,1.629492099056985,0,0.02956581852219025,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Julián Quiñones,Attacker,QADSIAH,AHLI,SOCCER,3.5,Shots,shots,Standard,10543116,10543116,276876,135379,2026-03-13T15:00:00.000-04:00,,,3.5,0,https://static.prizepicks.com/images/manual/Julián Quiñones.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,LOW,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,3.5,0,0,0,OVER,1,,0,,0.75,1.03,1,0.8218564526736405,,-9.895669781061327,0,3.5,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.555,1.37089743141605,0,-0.979197193626329,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Christopher Bonsu Baah,Attacker,QADSIAH,AHLI,SOCCER,3.5,Attempted Dribbles,attempted_dribbles,Standard,10543386,10543386,276713,135379,2026-03-13T15:00:00.000-04:00,,,3.5,0,https://static.prizepicks.com/images/manual/Christopher Baah.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,LOW,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,3.5,0,0,0,OVER,1,,0,,0.75,1.01,1,0.8218564526736405,,-9.895669781061327,0,3.5,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.55,1.284699208869072,0,-0.9863017173177466,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Koen Casteels,Goalkeeper,QADSIAH,AHLI,SOCCER,3,Goalie Saves,saves,Standard,10535291,10535291,280961,135379,2026-03-13T15:00:00.000-04:00,,,3,0,https://static.prizepicks.com/images/players/soccer/bfpax581lm91ebz4xgz40a191.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,GK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,3,0,0,0,OVER,1,,0,,1,1.06,1,0.8218564526736405,,0.1274922557604025,0,3,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.6,2.146681434338857,0,0.8326645765473027,B,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Mateo Retegui,Attacker,QADSIAH,AHLI,SOCCER,3,Shots,shots,Standard,10543117,10543117,276063,135379,2026-03-13T15:00:00.000-04:00,,,3,0,https://static.prizepicks.com/images/players/soccer/lmih2q1hcr1dp40wx782re5m.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,LOW,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,3,0,0,0,OVER,1,,0,,0.75,1.03,1,0.8218564526736405,,-9.895669781061327,0,3,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.555,1.37089743141605,0,-0.979197193626329,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Ivan Toney,Attacker,AHLI,QADSIAH,SOCCER,3,Shots,shots,Standard,10543120,10543120,212576,135379,2026-03-13T15:00:00.000-04:00,,,3,0,https://static.prizepicks.com/images/players/soccer/b36foqukxn8obd969q6sea7yt.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,LOW,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,3,0,0,0,OVER,1,,0,,0.75,1.03,1,0.8218564526736405,,-9.895669781061327,0,3,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.555,1.37089743141605,0,-0.979197193626329,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Ivan Toney,Attacker,AHLI,QADSIAH,SOCCER,2.5,Shots On Target,shots_on_target,Demon,10469307,10469307,212576,135379,2026-03-13T15:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/soccer/b36foqukxn8obd969q6sea7yt.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,1.5,-1,1,1,OVER,1,,-1,,1,1.05,0.75,-0.3089419627037157,,0.1274922557604025,0,1.5,-1,-1,0,-0.4338195199773355,,,,0,0.7347504895725591,0.4999999999999999,0.4227169833992837,0,0.2113203362306211,B,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
,Julián Quiñones,Attacker,QADSIAH,AHLI,SOCCER,2.5,Shots On Target,shots_on_target,Demon,10469315,10469315,276876,135379,2026-03-13T15:00:00.000-04:00,,,,2,https://static.prizepicks.com/images/manual/Julián Quiñones.webp,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_ID,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,0.5,-2,2,1,OVER,1,,-1.80250092522166,,1,1.05,0.75,-1.439740378081072,,0.1274922557604025,0,0.5,-2,-1.80250092522166,0,-0.4338195199773355,,,,0,0.7347504895725591,0.4399999999999999,-0.6116616871644598,0,-0.03305162469006327,C,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
378257,Édouard Mendy,Goalkeeper,AHLI,QADSIAH,SOCCER,2.5,Goalie Saves,saves,Standard,10535292,10535292,174416,135379,2026-03-13T15:00:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/manual/Édouard Mendy.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,NO_DATA,,,MISSING_STAT_VALUES,,,,,,,,,,,,,GK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,2.5,0,0,0,OVER,1,,0,,1,1.06,1,0.8218564526736405,,0.1274922557604025,0,2.5,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.6,2.146681434338857,0,0.8326645765473027,B,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Musab Al Juwayr,Midfielder,QADSIAH,AHLI,SOCCER,2.5,Shots Assisted,shots_assisted,Standard,10543367,10543367,276736,135379,2026-03-13T15:00:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/manual/Musab Juwayr .png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,,MID,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,2.5,0,0,0,OVER,1,,0,,0.9,1,1,0.8218564526736405,,-3.881772558968289,0,2.5,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.54,1.112302763775114,0,-0.1261707039941785,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
,Riyad Mahrez,Attacker,AHLI,QADSIAH,SOCCER,2.5,Shots Assisted,shots_assisted,Standard,10543369,10543369,174411,135379,2026-03-13T15:00:00.000-04:00,,,2.5,0,https://static.prizepicks.com/images/manual/Riyad Mahrez.png,,,,,UNRESOLVED_SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,MISSING_STAT_VALUES,,,,,,,,,,,,,FWD,LOW,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,2.5,0,0,0,OVER,1,,0,,0.75,1,1,0.8218564526736405,,-9.895669781061327,0,2.5,0,0,0,-0.4338195199773355,,,,0,0.7347504895725591,0.54,1.112302763775114,0,-1.028255287308134,D,OVER,OVER,MODEL_TIEBREAK_DIFF<0.03
