file,player,team,line,result,reason
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Bo Bichette,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Michael Lorenzen,COL,2.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Bo Bichette,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Bo Bichette,NYM,1.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Francisco Alvarez,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Tyrone Taylor,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Tyrone Taylor,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Mark Vientos,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Mickey Moniak,COL,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Ezequiel Tovar,COL,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Tyler Freeman,COL,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Tyler Freeman,COL,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Garrett Mitchell,MIL,0.5,VOID,POSTPONED · makeup 2026-07-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Marcus Semien,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Mickey Moniak,COL,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,MJ Melendez,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Hunter Goodman,COL,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Ezequiel Tovar,COL,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Francisco Alvarez,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Marcus Semien,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Brett Baty,NYM,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\graded_mlb_2026-05-05.xlsx,Hunter Goodman,COL,0.5,VOID,POSTPONED · makeup 2026-05-07 · Inclement Weather
