file,player,team,line,result,reason
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Victor Scott II,STL,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Alec Burleson,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ivan Herrera,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jordan Walker,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,José Fermín,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Masyn Winn,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Pedro Pagés,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Pedro Pagés,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Victor Scott II,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Alec Burleson,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ivan Herrera,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jordan Walker,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,José Fermín,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Masyn Winn,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Pedro Pagés,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Victor Scott II,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,7.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Tyler Stephenson,CIN,6.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Matt McLain,CIN,6.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Spencer Steer,CIN,4.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Dane Myers,CIN,4.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Matt McLain,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathaniel Lowe,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Spencer Steer,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Tyler Stephenson,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,JJ Bleday,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Blake Dunn,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Dane Myers,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Matt McLain,CIN,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Spencer Steer,CIN,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,JJ Bleday,CIN,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Blake Dunn,CIN,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Dane Myers,CIN,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Elly De La Cruz,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathaniel Lowe,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathaniel Lowe,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Sal Stewart,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Spencer Steer,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Tyler Stephenson,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Tyler Stephenson,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Matt McLain,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Matt McLain,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,JJ Bleday,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,JJ Bleday,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Blake Dunn,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Dane Myers,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Elly De La Cruz,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Matt McLain,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathaniel Lowe,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Sal Stewart,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Spencer Steer,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Tyler Stephenson,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,JJ Bleday,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Blake Dunn,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Dane Myers,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Kyle Leahy,STL,100.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Kyle Leahy,STL,8.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Kyle Leahy,STL,7.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Kyle Leahy,STL,6.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Kyle Leahy,STL,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Thomas Saggese,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Chris Paddack,CIN,7.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Chris Paddack,CIN,6.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,3.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,2.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Will Benson,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Jose Trevino,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Chris Paddack,CIN,5.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Ke'Bryan Hayes,CIN,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Chris Paddack,CIN,1.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-24\graded_mlb_2026-05-24.xlsx,Nathan Church,STL,0.5,VOID,POSTPONED · makeup 2026-08-17 · Rain
